"id","on_date","from_currency","to_currency","rate"
"null","2017-03-23","EUR","RUB","62.651000"
"null","2017-03-23","EUR","INR","70.700000"
"null","2017-03-23","EUR","MXN","20.690000"
"null","2017-03-23","EUR","CZK","27.021000"
"null","2017-03-23","EUR","BRL","3.348400"
"null","2017-03-23","EUR","PLN","4.281600"
"null","2017-03-23","EUR","PHP","54.272000"
"null","2017-03-23","EUR","ZAR","13.611000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-24","EUR","USD","1.078600"
"null","2017-03-24","EUR","IDR","14364.000000"
"null","2017-03-24","EUR","BGN","1.955800"
"null","2017-03-24","EUR","ILS","3.932200"
"null","2017-03-24","EUR","GBP","0.862730"
"null","2017-03-24","EUR","DKK","7.435600"
"null","2017-03-24","EUR","CAD","1.438700"
"null","2017-03-24","EUR","JPY","119.360000"
"null","2017-03-24","EUR","HUF","309.220000"
"null","2017-03-24","EUR","RON","4.555500"
"null","2017-03-24","EUR","MYR","4.777100"
"null","2017-03-24","EUR","SEK","9.509500"
"null","2017-03-24","EUR","SGD","1.508600"
"null","2017-03-24","EUR","HKD","8.378000"
"null","2017-03-24","EUR","AUD","1.413200"
"null","2017-03-24","EUR","CHF","1.070000"
"null","2017-03-24","EUR","KRW","1207.400000"
"null","2017-03-24","EUR","CNY","7.426800"
"null","2017-03-24","EUR","TRY","3.903800"
"null","2017-03-24","EUR","HRK","7.417800"
"null","2017-03-24","EUR","NZD","1.530300"
"null","2017-03-24","EUR","THB","37.320000"
"null","2017-03-24","EUR","NOK","9.147800"
"null","2017-03-24","EUR","RUB","62.200000"
"null","2017-03-24","EUR","INR","70.610000"
"null","2017-03-24","EUR","MXN","20.596000"
"null","2017-03-24","EUR","CZK","27.021000"
"null","2017-03-24","EUR","BRL","3.360800"
"null","2017-03-24","EUR","PLN","4.268500"
"null","2017-03-24","EUR","PHP","54.309000"
"null","2017-03-24","EUR","ZAR","13.493000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-25","EUR","USD","1.080500"
"null","2017-03-25","EUR","IDR","14399.000000"
"null","2017-03-25","EUR","BGN","1.955800"
"null","2017-03-25","EUR","ILS","3.934700"
"null","2017-03-25","EUR","GBP","0.866000"
"null","2017-03-25","EUR","DKK","7.437800"
"null","2017-03-25","EUR","CAD","1.444800"
"null","2017-03-25","EUR","JPY","120.090000"
"null","2017-03-25","EUR","HUF","309.810000"
"null","2017-03-25","EUR","RON","4.552700"
"null","2017-03-25","EUR","MYR","4.780000"
"null","2017-03-25","EUR","SEK","9.537300"
"null","2017-03-25","EUR","SGD","1.512600"
"null","2017-03-25","EUR","HKD","8.393300"
"null","2017-03-25","EUR","AUD","1.418200"
"null","2017-03-25","EUR","CHF","1.071800"
"null","2017-03-25","EUR","KRW","1210.400000"
"null","2017-03-25","EUR","CNY","7.440600"
"null","2017-03-25","EUR","TRY","3.917600"
"null","2017-03-25","EUR","HRK","7.419800"
"null","2017-03-25","EUR","NZD","1.540100"
"null","2017-03-25","EUR","THB","37.353000"
"null","2017-03-25","EUR","NOK","9.179300"
